lat1,lon1,lat2,lon2,distance
36.2023038,5.408276,36.2006936,5.4088903,0.18754319840109832
36.2023038,5.408276,36.20033,5.4078385,0.22481775307368615
36.2023038,5.408276,36.2050868,5.4150481,0.7844758872231475
36.2023542,5.4096118,36.2011807,5.4100371,0.13595313750435792
36.2022427,5.4089735,36.2009397,5.40944,0.15081249348447426
36.2027816,5.4128209,36.2014355,5.4126925,0.15024469566829926
36.2030744,5.4065702,36.2018386,5.4068854,0.1411519954299257
36.194486,5.4189215,36.1939062,5.4201063,0.12434002713241865
36.194486,5.4189215,36.1935706,5.4182983,0.11615435555087525
36.194486,5.4189215,36.1947131,5.4190761,0.02881232655537349
36.1939062,5.4201063,36.194486,5.4189215,0.12434002713241865
36.1934811,5.3979705,36.193566,5.3982588,0.027539911680144812
36.1934811,5.3979705,36.193566,5.3982588,0.20003977122159108
36.1934811,5.3979705,36.1942088,5.3980217,0.10368689252607018
36.2005235,5.3841746,36.2006724,5.3844297,0.028250353628876766
36.2005235,5.3841746,36.2006161,5.3840909,0.012744670712401145
36.2005235,5.3841746,36.200184,5.3844154,0.043541181154065585
36.2006724,5.3844297,36.2005235,5.3841746,0.028250353628876766
36.2006724,5.3844297,36.2007473,5.384378,0.009533332511605505
36.2006724,5.3844297,36.2002431,5.3851987,0.10030516121888483
36.2002431,5.3851987,36.2014991,5.3843844,0.1883077251747365
36.2002431,5.3851987,36.2006724,5.3844297,0.10030516121888483
36.2002431,5.3851987,36.2007473,5.384378,0.2598327022496792
36.2007473,5.384378,36.2006161,5.3840909,0.02960533187296732
36.2007473,5.384378,36.2006724,5.3844297,0.009533332511605505
36.2007473,5.384378,36.2002431,5.3851987,0.2598327022496792
36.2006161,5.3840909,36.2007473,5.384378,0.02960533187296732
36.2006161,5.3840909,36.2005235,5.3841746,0.012744670712401145
36.2006161,5.3840909,36.2035924,5.3836676,0.3684962565061062
36.200905,5.4029547,36.2011134,5.4029527,0.023173750319595766
36.200905,5.4029547,36.2007246,5.4029425,0.020089440815495723
36.200905,5.4029547,36.2006299,5.4031656,0.04933047350339578
36.1934892,5.3909423,36.1935649,5.3902138,0.06736395458265823
36.1934892,5.3909423,36.1934895,5.391541,0.05970403441059031
36.1934892,5.3909423,36.1928657,5.3910094,0.07265048474002506
36.1928657,5.3910094,36.193083,5.3901979,0.07962612556941844
36.1928657,5.3910094,36.1934895,5.391541,0.11782623555956434
36.1928657,5.3910094,36.1934892,5.3909423,0.07265048474002507
36.1894714,5.4147892,36.1894674,5.4148106,0.0019713131694451182
36.1894714,5.4147892,36.1894674,5.4148106,0.0019713131694451182
36.1894714,5.4147892,36.1895799,5.4147999,0.012102819504858342
36.1894714,5.4147892,36.1895872,5.4146826,0.022138299763056514
36.1890611,5.4004882,36.1890633,5.4005205,0.002908988720221672
36.1890611,5.4004882,36.1887632,5.4005166,0.03322292109838568
36.1879856,5.4027669,36.1880107,5.4032119,0.04003338751650411
36.1879856,5.4027669,36.1879604,5.4023206,0.04015055870719715
36.1879856,5.4027669,36.1875938,5.4024397,0.06830225759850339
36.1880107,5.4032119,36.1880142,5.4032738,0.0055687546264653895
36.1880107,5.4032119,36.1879856,5.4027669,0.04003338751650411
36.1880107,5.4032119,36.1885414,5.4031348,0.060024390238637364
36.1882075,5.4022841,36.1879604,5.4023206,0.027670872618195022
36.1867788,5.4007901,36.1865626,5.4007928,0.02404159824973313
36.1865626,5.4007928,36.1865547,5.4011643,0.03335199523725707
36.1865626,5.4007928,36.1867788,5.4007901,0.02404159824973313
36.1865626,5.4007928,36.1865601,5.4006346,0.014289356981258274
36.1870354,5.3999454,36.1857929,5.399922,0.1381758510854906
36.1870354,5.3999454,36.1872306,5.3999491,0.021707820151402633
36.1870354,5.3999454,36.1870613,5.4006413,0.06251981693237436
36.1870613,5.4006413,36.1870354,5.3999454,0.06251981693237436
36.1865547,5.4011643,36.1865626,5.4007928,0.03335199523725707
36.1865601,5.4006346,36.1857929,5.4002224,0.10058675668231791
36.1865601,5.4006346,36.1865626,5.4007928,0.014289356981258276
36.1865601,5.4006346,36.1857929,5.4006408,0.08531314370628099
36.1855073,5.3905693,36.1843854,5.3917382,0.16302975176256246
36.1855073,5.3905693,36.1843669,5.3896659,0.150513183790501
36.1842575,5.3895891,36.1843669,5.3896659,0.013981756810624562
36.1842575,5.3895891,36.1615487,5.369671,3.3816954851983025
36.1842575,5.3895891,36.1827386,5.3897769,0.17042852114194335
36.1842575,5.3895891,36.1838612,5.3893633,0.04942721808479814
36.1615487,5.369671,36.1842575,5.3895891,3.3816954851983008
36.1935649,5.3902138,36.1934892,5.3909423,0.06736395458265823
36.218951,5.3964289,36.2035924,5.3836676,2.1566152959793756
36.1934895,5.391541,36.1934892,5.3909423,0.05970403441059031
36.1934895,5.391541,36.1945112,5.3927853,0.16317552927599163
36.1934895,5.391541,36.1928657,5.3910094,0.11782623555956435
36.193083,5.3901979,36.1928657,5.3910094,0.07962612556941844
36.1977071,5.3934602,36.1971756,5.3938109,0.09404102186139382
36.1994881,5.3908818,36.1998887,5.39115,0.050629952517696135
36.1994881,5.3908818,36.1993065,5.3912777,0.04086245837787582
36.1994881,5.3908818,36.1991429,5.3906279,0.04463668105680253
36.200184,5.3844154,36.2005235,5.3841746,0.043541181154065585
36.200184,5.3844154,36.2000254,5.3843866,0.01836880339568048
36.1993065,5.3912777,36.1994881,5.3908818,0.04086245837787582
36.1969643,5.3912476,36.1976344,5.3914912,0.077651963644161
36.1969643,5.3912476,36.1972465,5.3906418,0.06276716206142871
