LATITUDE,LONGITUDE,NAME
36.1908,5.4104,Park Mall
36.1898,5.4108,City Center
36.1894,5.405,Ain El Fouara
36.1921,5.4098,Museum
36.1963,5.3597,Universite de Setif
36.2022,5.3576,Hospital
